,rxn_id,Cyc_ID,ENZYME,Gene ID,GeneSynonyms,Reaction_stoich,PWY,notes,EC number,IPR_ID,GO_ID,Genes in complex
0,RXN_1381_p,RXN-1381,"ENZRXNQT-14835,ENZRXNQT-13131,ENZRXNQT-11893,ENZRXNQT-7107,ENZRXN-2123,ENZRXNQT-12444,ENZRXNQT-12443,ENZRXNQT-12442,ENZRXNQT-12441,ENZRXNQT-12440,ENZRXNARA-792","AT1G02390,MONOMERQT-8733,MONOMERQT-8376,AT5G60620,CPLX-1762,AT5G06090,AT2G38110,AT1G06520,AT1G01610,AT3G11430,AT4G00400","GPAT9,GPAT7,GPAT5",Fatty_acyl_ACP_p + GLYCEROL_3P_p --> ACP_p + ACYL_SN_GLYCEROL_3P_p,"TRIGLSYN-PWY,PWY-5667",,2.3.1.15,"IPR023083,IPR038114,IPR045314,IPR002885,IPR045252,IPR002123,IPR036412,IPR003038,IPR016222,IPR023214,IPR011990,IPR004827,IPR012900"," GO:0016024,GO:0004366, GO:0009570",
1,METHYLCROTONYL_COA_CARBOXYLASE_RXN_m,METHYLCROTONYL-COA-CARBOXYLASE-RXN,"ENZRXNQT0714-1154,ENZRXNQT-9461","AT1G03090,CPLXQT-3",MCCA,3_METHYL_CROTONYL_COA_m + 0.9 ATP_m + HCO3_m + 0.1 aATP_m --> 0.8 ADP_m + 0.9 PROTON_m + Pi_m + TRANS_3_METHYL_GLUTACONYL_COA_m + 0.2 aADP_m,LEU-DEG2-PWY,,6.4.1.4,"IPR011763,IPR016185,IPR017937,IPR036249,IPR029045,IPR034733,IPR011764,IPR013766,IPR011761,IPR043502,IPR006311,IPR005482,IPR011053,IPR045190,IPR000089,IPR005481,IPR001882,IPR005479,IPR013103,IPR011054,IPR011762,IPR045774"," GO:0016874, GO:0009507, GO:0005739,GO:0005524, GO:0006552","(AT1G03090,AT4G34030)"
2,CYTOCHROME_C_OXIDASE_RXN_mc,CYTOCHROME-C-OXIDASE-RXN,"ENZRXNQT-14815,ENZRXNQT-14813,ENZRXNQT-14795,ENZRXNQT-14785,ENZRXNQT-14763,ENZRXNQT-14762,ENZRXNQT-14748,ENZRXNQT-14734,ENZRXNQT-14732,ENZRXNQT-14730,ENZRXNQT-14719,ENZRXNQT-14713,ENZRXNQT-14677,ENZRXNQT-14647,ENZRXNQT-14641,ENZRXNQT-14629,ENZRXNQT-14624,ENZRXNQT-14610,ENZRXNQT-14606,ENZRXNQT-14563,ENZRXNQT-14516,ENZRXNQT-14507,ENZRXNQT-14479,ENZRXNQT-14471,ENZRXNQT-14439,ENZRXNQT-14427,ENZRXNQT-14425,ENZRXNQT-14408,ENZRXNQT-14392,ENZRXNQT-14384,ENZRXNQT-14357,ENZRXNQT-14310,ENZRXNQT-14270,ENZRXNQT-14241,ENZRXNQT-14198,ENZRXNQT-14196,ENZRXNQT-14169,ENZRXNQT-14150,ENZRXNQT-14128,ENZRXNQT-14048,ENZRXNQT-14041,ENZRXNQT-14013,ENZRXNQT-14011,ENZRXNQT-13965,ENZRXNQT-13961,ENZRXNQT-13957,ENZRXNQT-13931,ENZRXNQT-13929,ENZRXNQT-13928,ENZRXNQT-13857,ENZRXNQT-13845,ENZRXNQT-13839,ENZRXNQT-13833,ENZRXNQT-13825,ENZRXNQT-13816,ENZRXNQT-13782,ENZRXNQT-13760,ENZRXNQT-13750,ENZRXNQT-13701,ENZRXNQT-13696,ENZRXNQT-13683,ENZRXNQT-13681,ENZRXNQT-13634,ENZRXNQT-13608,ENZRXNQT-13598,ENZRXNQT-13574,ENZRXNQT-13520,ENZRXNQT-13517,ENZRXNQT-13509,ENZRXNQT-13508,ENZRXNQT-13502,ENZRXNQT-13482,ENZRXNQT-13481,ENZRXNQT-13470,ENZRXNQT-13469,ENZRXNQT-13422,ENZRXNQT-13415,ENZRXNQT-13409,ENZRXNQT-13388,ENZRXNQT-13368,ENZRXNQT-13364,ENZRXNQT-13353,ENZRXNQT-13292,ENZRXNQT-13276,ENZRXNQT-13267,ENZRXNQT-13244,ENZRXNQT-13227,ENZRXNQT-13220,ENZRXNQT-13215,ENZRXNQT-13173,ENZRXNQT-13171,ENZRXNQT-13129,ENZRXNQT-13118,ENZRXNQT-13106,ENZRXNQT-13095,ENZRXNQT-13081,ENZRXNQT-13065,ENZRXNQT-13058,ENZRXNQT-13047,ENZRXNQT-13014,ENZRXNQT-12886,ENZRXNQT-12820,ENZRXNQT-12713,ENZRXNQT-12463,ENZRXNQT-12455,ENZRXNQT-12399,ENZRXNQT-12360,ENZRXNQT-12332,ENZRXNQT-12315,ENZRXNQT-12295,ENZRXNQT-12282,ENZRXNQT-12276,ENZRXNQT-12252,ENZRXNQT-12251,ENZRXNQT-12241,ENZRXNQT-12177,ENZRXNQT-12170,ENZRXNQT-12159,ENZRXNQT-12136,ENZRXNQT-12135,ENZRXNQT-12119,ENZRXNQT-12118,ENZRXNQT-12111,ENZRXNQT-12095,ENZRXNQT-12051,ENZRXNQT-12007,ENZRXNQT-11997,ENZRXNQT-11987,ENZRXNQT-11956,ENZRXNQT-11933,ENZRXNQT-11926,ENZRXNQT-11918,ENZRXNQT-11900,ENZRXNQT-11879,ENZRXNQT-11865,ENZRXNQT-11845,ENZRXNQT-11772,ENZRXNQT-11767,ENZRXNQT-11766,ENZRXNQT-11764,ENZRXNQT-11763,ENZRXNQT-11747,ENZRXNQT-11724,ENZRXNQT-11715,ENZRXNQT-11683,ENZRXNQT-11682,ENZRXNQT-11678,ENZRXNQT-11676,ENZRXNQT-11657,ENZRXNQT-11652,ENZRXNQT-11643,ENZRXNQT-11622,ENZRXNQT-11587,ENZRXNQT-11497,ENZRXNQT-11496,ENZRXNQT-11481,ENZRXNQT-11480,ENZRXNQT-11465,ENZRXNQT-11449,ENZRXNQT-11433,ENZRXNQT-11403,ENZRXNQT-11402,ENZRXNQT-11393,ENZRXNQT-11375,ENZRXNQT-11374,ENZRXNQT-11326,ENZRXNQT-11315,ENZRXNQT-11287,ENZRXNQT-11275,ENZRXNQT-11271,ENZRXNQT-11270,ENZRXNQT-11256,ENZRXNQT-11218,ENZRXNQT-11217,ENZRXNQT-11147,ENZRXNQT-11146,ENZRXNQT-11124,ENZRXNQT-11089,ENZRXNQT-11019,ENZRXNQT-10960,ENZRXNQT-10938,ENZRXNQT-10931,ENZRXNQT-10916,ENZRXNQT-10915,ENZRXNQT-10880,ENZRXNQT-10849,ENZRXNQT-10838,ENZRXNQT-10818,ENZRXNQT-10800,ENZRXNQT-10785,ENZRXNQT-10766,ENZRXNQT-10748,ENZRXNQT-10715,ENZRXNQT-10712,ENZRXNQT-10682,ENZRXNQT-10669,ENZRXNQT-10625,ENZRXNQT-10620,ENZRXNQT-10594,ENZRXNQT-10589,ENZRXNQT-10536,ENZRXNQT-10525,ENZRXNQT-10524,ENZRXNQT0714-1684,ENZRXNQT0714-1475,ENZRXNQT0714-1354,ENZRXNQT0714-202,ENZRXNQT-27021,ENZRXNQT-25332,ENZRXNARA-721,ENZRXN-8988","AT1G03510,AT1G03540,AT1G04840,MONOMERQT-9716,AT1G06140,AT1G06143,MONOMERQT-9697,AT1G09190,AT1G09220,AT1G09410,AT1G10330,AT1G11290,AT1G13410,AT1G15510,MONOMERQT-9625,MONOMERQT-9608,AT1G18485,AT1G19720,AT1G20230,AT1G23450,AT1G25360,AT1G26900,AT1G28690,AT1G29710,MONOMERQT-9552,AT1G31790,AT1G31920,AT1G32415,MONOMERQT-9533,MONOMERQT-9527,AT1G43980,AT1G50270,AT1G52710,MONOMERQT-9453,MONOMERQT-9423,AT1G56690,AT1G59720,AT1G62260,AT1G64310,MONOMERQT-9333,AT1G69350,AT1G71420,AT1G71490,AT1G74400,AT1G74600,MONOMERQT-9296,AT1G77010,AT1G77150,AT1G77170,MONOMERQT-9237,AT2G02750,AT2G02980,AT2G03380,AT2G03880,AT2G04860,AT2G13600,AT2G15690,AT2G17210,MONOMERQT-9127,AT2G21090,AT2G22070,AT2G22410,MONOMERQT-9089,AT2G27229,AT2G27610,AT2G29760,MONOMERQT-9000,AT2G33760,AT2G34370,AT2G34400,AT2G35030,AT2G36730,MONOMERQT-8976,AT2G37310,AT2G37320,AT2G39620,AT2G40720,AT2G41080,MONOMERQT-8908,MONOMERQT-8890,AT2G45350,AT2G46050,AT3G01580,AT3G02010,AT3G02330,AT3G03580,AT3G04750,AT3G05240,AT3G05340,AT3G08820,MONOMERQT-8758,AT3G11460,AT3G12770,MONOMERQT-8712,AT3G13880,AT3G14330,AT3G14730,AT3G15130,AT3G15930,AT3G16610,MONOMERQT-8674,AT3G18970,AT3G20730,AT3G21470,MONOMERQT-8631,MONOMERQT-8628,MONOMERQT-8623,AT3G24000,AT3G25060,AT3G25970,AT3G26630,AT3G26782,AT3G28640,AT3G28660,AT3G29230,AT3G46790,AT3G47530,AT3G47840,AT3G49142,AT3G49170,AT3G49710,AT3G49740,MONOMERQT-8509,AT3G51320,MONOMERQT-8493,MONOMERQT-8463,AT3G57430,AT3G58590,AT3G61170,AT3G62400,AT3G62890,MONOMERQT-8393,AT4G01030,AT4G02750,AT4G04370,AT4G08210,AT4G13650,MONOMERQT-8319,MONOMERQT-8318,AT4G14820,AT4G14850,AT4G15720,AT4G16470,AT4G16835,AT4G18750,MONOMERQT-8261,AT4G19191,AT4G19220,AT4G20770,MONOMERQT-8238,AT4G21300,AT4G22760,AT4G25270,AT4G30700,MONOMERQT-8158,MONOMERQT-8150,AT4G32450,AT4G33170,MONOMERQT-8124,AT4G35130,AT4G37170,AT4G37380,AT4G38010,AT4G39530,AT4G39952,AT5G03800,AT5G04780,AT5G06540,AT5G08305,MONOMERQT-8017,AT5G08510,MONOMERQT-8000,AT5G13230,AT5G13270,AT5G15300,AT5G15340,AT5G16860,AT5G19020,AT5G27110,MONOMERQT-7827,AT5G39350,AT5G39680,MONOMERQT-7812,AT5G40410,MONOMERQT-7797,AT5G43790,MONOMERQT-7771,AT5G46460,AT5G47460,AT5G48910,AT5G50390,AT5G50990,AT5G52630,AT5G52850,AT5G55740,AT5G56310,AT5G59200,AT5G59600,MONOMERQT-7651,AT5G61800,AT5G65570,AT5G66500,AT5G66520,AT1G80230,ATMG00160,AT2G47380,AT1G80230,AT2G07695,AT2G07687,ATMG01280,CPLX-5323","at1g80230,atMg00160,at2g47380,at1g80230,ORF291",4.0 Cytochromes_C_Reduced_mc + OXYGEN_MOLECULE_m + 8.0 PROTON_m --> 4.0 Cytochromes_C_Oxidized_mc + 4.0 PROTON_c + 2.0 WATER_m,"PWY-7429,PWY-6692,PWY-3781,PWY-7279,PWY-4521",14 subunits,1.9.3.1,"IPR002429,IPR012258,IPR003213,IPR001505,IPR002655,IPR036250,IPR036257,IPR036549,IPR002124,IPR036972,IPR008972,IPR011759,IPR034210,IPR009100,IPR045187",,"(AT1G80230,AT3G15640,ATMG00160,AT2G47380,ATMG01360,AT4G37830,ATMG00730)"
3,CYTOCHROME_C_OXIDASE_RXN_mi,CYTOCHROME-C-OXIDASE-RXN,"ENZRXNQT-14815,ENZRXNQT-14813,ENZRXNQT-14795,ENZRXNQT-14785,ENZRXNQT-14763,ENZRXNQT-14762,ENZRXNQT-14748,ENZRXNQT-14734,ENZRXNQT-14732,ENZRXNQT-14730,ENZRXNQT-14719,ENZRXNQT-14713,ENZRXNQT-14677,ENZRXNQT-14647,ENZRXNQT-14641,ENZRXNQT-14629,ENZRXNQT-14624,ENZRXNQT-14610,ENZRXNQT-14606,ENZRXNQT-14563,ENZRXNQT-14516,ENZRXNQT-14507,ENZRXNQT-14479,ENZRXNQT-14471,ENZRXNQT-14439,ENZRXNQT-14427,ENZRXNQT-14425,ENZRXNQT-14408,ENZRXNQT-14392,ENZRXNQT-14384,ENZRXNQT-14357,ENZRXNQT-14310,ENZRXNQT-14270,ENZRXNQT-14241,ENZRXNQT-14198,ENZRXNQT-14196,ENZRXNQT-14169,ENZRXNQT-14150,ENZRXNQT-14128,ENZRXNQT-14048,ENZRXNQT-14041,ENZRXNQT-14013,ENZRXNQT-14011,ENZRXNQT-13965,ENZRXNQT-13961,ENZRXNQT-13957,ENZRXNQT-13931,ENZRXNQT-13929,ENZRXNQT-13928,ENZRXNQT-13857,ENZRXNQT-13845,ENZRXNQT-13839,ENZRXNQT-13833,ENZRXNQT-13825,ENZRXNQT-13816,ENZRXNQT-13782,ENZRXNQT-13760,ENZRXNQT-13750,ENZRXNQT-13701,ENZRXNQT-13696,ENZRXNQT-13683,ENZRXNQT-13681,ENZRXNQT-13634,ENZRXNQT-13608,ENZRXNQT-13598,ENZRXNQT-13574,ENZRXNQT-13520,ENZRXNQT-13517,ENZRXNQT-13509,ENZRXNQT-13508,ENZRXNQT-13502,ENZRXNQT-13482,ENZRXNQT-13481,ENZRXNQT-13470,ENZRXNQT-13469,ENZRXNQT-13422,ENZRXNQT-13415,ENZRXNQT-13409,ENZRXNQT-13388,ENZRXNQT-13368,ENZRXNQT-13364,ENZRXNQT-13353,ENZRXNQT-13292,ENZRXNQT-13276,ENZRXNQT-13267,ENZRXNQT-13244,ENZRXNQT-13227,ENZRXNQT-13220,ENZRXNQT-13215,ENZRXNQT-13173,ENZRXNQT-13171,ENZRXNQT-13129,ENZRXNQT-13118,ENZRXNQT-13106,ENZRXNQT-13095,ENZRXNQT-13081,ENZRXNQT-13065,ENZRXNQT-13058,ENZRXNQT-13047,ENZRXNQT-13014,ENZRXNQT-12886,ENZRXNQT-12820,ENZRXNQT-12713,ENZRXNQT-12463,ENZRXNQT-12455,ENZRXNQT-12399,ENZRXNQT-12360,ENZRXNQT-12332,ENZRXNQT-12315,ENZRXNQT-12295,ENZRXNQT-12282,ENZRXNQT-12276,ENZRXNQT-12252,ENZRXNQT-12251,ENZRXNQT-12241,ENZRXNQT-12177,ENZRXNQT-12170,ENZRXNQT-12159,ENZRXNQT-12136,ENZRXNQT-12135,ENZRXNQT-12119,ENZRXNQT-12118,ENZRXNQT-12111,ENZRXNQT-12095,ENZRXNQT-12051,ENZRXNQT-12007,ENZRXNQT-11997,ENZRXNQT-11987,ENZRXNQT-11956,ENZRXNQT-11933,ENZRXNQT-11926,ENZRXNQT-11918,ENZRXNQT-11900,ENZRXNQT-11879,ENZRXNQT-11865,ENZRXNQT-11845,ENZRXNQT-11772,ENZRXNQT-11767,ENZRXNQT-11766,ENZRXNQT-11764,ENZRXNQT-11763,ENZRXNQT-11747,ENZRXNQT-11724,ENZRXNQT-11715,ENZRXNQT-11683,ENZRXNQT-11682,ENZRXNQT-11678,ENZRXNQT-11676,ENZRXNQT-11657,ENZRXNQT-11652,ENZRXNQT-11643,ENZRXNQT-11622,ENZRXNQT-11587,ENZRXNQT-11497,ENZRXNQT-11496,ENZRXNQT-11481,ENZRXNQT-11480,ENZRXNQT-11465,ENZRXNQT-11449,ENZRXNQT-11433,ENZRXNQT-11403,ENZRXNQT-11402,ENZRXNQT-11393,ENZRXNQT-11375,ENZRXNQT-11374,ENZRXNQT-11326,ENZRXNQT-11315,ENZRXNQT-11287,ENZRXNQT-11275,ENZRXNQT-11271,ENZRXNQT-11270,ENZRXNQT-11256,ENZRXNQT-11218,ENZRXNQT-11217,ENZRXNQT-11147,ENZRXNQT-11146,ENZRXNQT-11124,ENZRXNQT-11089,ENZRXNQT-11019,ENZRXNQT-10960,ENZRXNQT-10938,ENZRXNQT-10931,ENZRXNQT-10916,ENZRXNQT-10915,ENZRXNQT-10880,ENZRXNQT-10849,ENZRXNQT-10838,ENZRXNQT-10818,ENZRXNQT-10800,ENZRXNQT-10785,ENZRXNQT-10766,ENZRXNQT-10748,ENZRXNQT-10715,ENZRXNQT-10712,ENZRXNQT-10682,ENZRXNQT-10669,ENZRXNQT-10625,ENZRXNQT-10620,ENZRXNQT-10594,ENZRXNQT-10589,ENZRXNQT-10536,ENZRXNQT-10525,ENZRXNQT-10524,ENZRXNQT0714-1684,ENZRXNQT0714-1475,ENZRXNQT0714-1354,ENZRXNQT0714-202,ENZRXNQT-27021,ENZRXNQT-25332,ENZRXNARA-721,ENZRXN-8988","AT1G03510,AT1G03540,AT1G04840,MONOMERQT-9716,AT1G06140,AT1G06143,MONOMERQT-9697,AT1G09190,AT1G09220,AT1G09410,AT1G10330,AT1G11290,AT1G13410,AT1G15510,MONOMERQT-9625,MONOMERQT-9608,AT1G18485,AT1G19720,AT1G20230,AT1G23450,AT1G25360,AT1G26900,AT1G28690,AT1G29710,MONOMERQT-9552,AT1G31790,AT1G31920,AT1G32415,MONOMERQT-9533,MONOMERQT-9527,AT1G43980,AT1G50270,AT1G52710,MONOMERQT-9453,MONOMERQT-9423,AT1G56690,AT1G59720,AT1G62260,AT1G64310,MONOMERQT-9333,AT1G69350,AT1G71420,AT1G71490,AT1G74400,AT1G74600,MONOMERQT-9296,AT1G77010,AT1G77150,AT1G77170,MONOMERQT-9237,AT2G02750,AT2G02980,AT2G03380,AT2G03880,AT2G04860,AT2G13600,AT2G15690,AT2G17210,MONOMERQT-9127,AT2G21090,AT2G22070,AT2G22410,MONOMERQT-9089,AT2G27229,AT2G27610,AT2G29760,MONOMERQT-9000,AT2G33760,AT2G34370,AT2G34400,AT2G35030,AT2G36730,MONOMERQT-8976,AT2G37310,AT2G37320,AT2G39620,AT2G40720,AT2G41080,MONOMERQT-8908,MONOMERQT-8890,AT2G45350,AT2G46050,AT3G01580,AT3G02010,AT3G02330,AT3G03580,AT3G04750,AT3G05240,AT3G05340,AT3G08820,MONOMERQT-8758,AT3G11460,AT3G12770,MONOMERQT-8712,AT3G13880,AT3G14330,AT3G14730,AT3G15130,AT3G15930,AT3G16610,MONOMERQT-8674,AT3G18970,AT3G20730,AT3G21470,MONOMERQT-8631,MONOMERQT-8628,MONOMERQT-8623,AT3G24000,AT3G25060,AT3G25970,AT3G26630,AT3G26782,AT3G28640,AT3G28660,AT3G29230,AT3G46790,AT3G47530,AT3G47840,AT3G49142,AT3G49170,AT3G49710,AT3G49740,MONOMERQT-8509,AT3G51320,MONOMERQT-8493,MONOMERQT-8463,AT3G57430,AT3G58590,AT3G61170,AT3G62400,AT3G62890,MONOMERQT-8393,AT4G01030,AT4G02750,AT4G04370,AT4G08210,AT4G13650,MONOMERQT-8319,MONOMERQT-8318,AT4G14820,AT4G14850,AT4G15720,AT4G16470,AT4G16835,AT4G18750,MONOMERQT-8261,AT4G19191,AT4G19220,AT4G20770,MONOMERQT-8238,AT4G21300,AT4G22760,AT4G25270,AT4G30700,MONOMERQT-8158,MONOMERQT-8150,AT4G32450,AT4G33170,MONOMERQT-8124,AT4G35130,AT4G37170,AT4G37380,AT4G38010,AT4G39530,AT4G39952,AT5G03800,AT5G04780,AT5G06540,AT5G08305,MONOMERQT-8017,AT5G08510,MONOMERQT-8000,AT5G13230,AT5G13270,AT5G15300,AT5G15340,AT5G16860,AT5G19020,AT5G27110,MONOMERQT-7827,AT5G39350,AT5G39680,MONOMERQT-7812,AT5G40410,MONOMERQT-7797,AT5G43790,MONOMERQT-7771,AT5G46460,AT5G47460,AT5G48910,AT5G50390,AT5G50990,AT5G52630,AT5G52850,AT5G55740,AT5G56310,AT5G59200,AT5G59600,MONOMERQT-7651,AT5G61800,AT5G65570,AT5G66500,AT5G66520,AT1G80230,ATMG00160,AT2G47380,AT1G80230,AT2G07695,AT2G07687,ATMG01280,CPLX-5323","at1g80230,atMg00160,at2g47380,at1g80230,ORF291",4.0 Cytochromes_C_Reduced_mi + OXYGEN_MOLECULE_m + 8.0 PROTON_m --> 4.0 Cytochromes_C_Oxidized_mi + 4.0 PROTON_i + 2.0 WATER_m,"PWY-7429,PWY-6692,PWY-3781,PWY-7279,PWY-4521",,1.9.3.1,"IPR002429,IPR012258,IPR003213,IPR001505,IPR002655,IPR036250,IPR036257,IPR036549,IPR002124,IPR036972,IPR008972,IPR011759,IPR034210,IPR009100,IPR045187",,"(AT1G80230,AT3G15640,ATMG00160,AT2G47380,ATMG01360,AT4G37830,ATMG00730)"
4,2_PERIOD_3_PERIOD_1_PERIOD_23_RXN_p,2.3.1.23-RXN,"ENZRXNQT-14805,ENZRXNQT-14688,ENZRXNQT-13900,ENZRXNQT-13214,ENZRXNQT-10320,ENZRXNQT-7986","AT1G04010,AT1G12640,MONOMERQT-9274,MONOMERQT-8813,MONOMER-19024,AT1G63050",,2_Lysophosphatidylcholines_r + Long_Chain_Acyl_CoAs_p <=> CO_A_p + PHOSPHATIDYL_CHOLINE_r + 4.0 PROTON_p,"PWY-6803,PWY-7470",,2.3.1.23,"IPR045252,IPR002048,IPR002123,IPR004299,IPR018247,IPR011992",,
5,RXN_7679_p,RXN-7679,ENZRXN-19633,AT1G04620,,CPD_7016_p + 2.0 PROTON_p + 2.0 Reduced_ferredoxins_p --> CHLOROPHYLL_A_p + 2.0 Oxidized_ferredoxins_p + WATER_p,PWY-5068,,1.17.7.-,,,
6,6PFRUCTPHOS_RXN_c,6PFRUCTPHOS-RXN,"ENZRXNQT-14756,ENZRXNQT-14614,ENZRXNQT-11541,ENZRXNQT-27907,ENZRXNQT-25482,ENZRXNQT-6871,ENZRXNQT-6784,ENZRXNQT-5901,ENZRXNQT-5853,ENZRXNQT-5835","AT1G06730,AT1G19600,AT4G27600,AT5G47810,AT2G22480,AT5G56630,AT5G61580,AT4G29220,AT4G32840,AT4G26270","PFK2,PFK5,PFK7,PFK4,PFK1,PFK6,PFK3",0.65 ATP_c + FRUCTOSE_6P_c + 0.35 aATP_c --> 0.5 ADP_c + FRUCTOSE_16_DIPHOSPHATE_c + 0.85 PROTON_c + 0.5 aADP_c,"ANAGLYCOLYSIS-PWY,GLYCOLYSIS,GLYCOLYSIS,PWY-5484,PWY-7385,PWY-1861,PWY-1042",,2.7.1.11,"IPR011611,IPR009161,IPR000070,IPR017853,IPR012946,IPR012334,IPR002173,IPR007863,IPR002139,IPR035513,IPR006501,IPR012004,IPR000023,IPR011183,IPR009081,IPR011050,IPR029056,IPR011249,IPR020084,IPR044965,IPR011012,IPR000086,IPR036052,IPR001431,IPR013101,IPR011765,IPR029058,IPR007751,IPR036736,IPR040618,IPR015912,IPR012677,IPR015797,IPR033131,IPR001926,IPR044813,IPR000490,IPR035979,IPR000504,IPR001763,IPR022953,IPR022775,IPR035966,IPR032675"," GO:0005524,GO:0003872, GO:0005737, GO:0006002",
7,6PFRUCTPHOS_RXN_p,6PFRUCTPHOS-RXN,"ENZRXNQT-14756,ENZRXNQT-14614,ENZRXNQT-11541,ENZRXNQT-27907,ENZRXNQT-25482,ENZRXNQT-6871,ENZRXNQT-6784,ENZRXNQT-5901,ENZRXNQT-5853,ENZRXNQT-5835","AT1G06730,AT1G19600,AT4G27600,AT5G47810,AT2G22480,AT5G56630,AT5G61580,AT4G29220,AT4G32840,AT4G26270","PFK2,PFK5,PFK7,PFK4,PFK1,PFK6,PFK3",0.9 ATP_p + FRUCTOSE_6P_p + 0.1 aATP_p --> 0.8 ADP_p + FRUCTOSE_16_DIPHOSPHATE_p + 0.9 PROTON_p + 0.2 aADP_p,"ANAGLYCOLYSIS-PWY,GLYCOLYSIS,GLYCOLYSIS,PWY-5484,PWY-7385,PWY-1861,PWY-1042",,2.7.1.11,"IPR011611,IPR009161,IPR000070,IPR017853,IPR012946,IPR012334,IPR002173,IPR007863,IPR002139,IPR035513,IPR006501,IPR012004,IPR000023,IPR011183,IPR009081,IPR011050,IPR029056,IPR011249,IPR020084,IPR044965,IPR011012,IPR000086,IPR036052,IPR001431,IPR013101,IPR011765,IPR029058,IPR007751,IPR036736,IPR040618,IPR015912,IPR012677,IPR015797,IPR033131,IPR001926,IPR044813,IPR000490,IPR035979,IPR000504,IPR001763,IPR022953,IPR022775,IPR035966,IPR032675"," GO:0005524,GO:0003872, GO:0005737, GO:0006002",
8,CARBOXYCYCLOHEXADIENYL_DEHYDRATASE_RXN_p,CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,"ENZRXNQT-10487,ENZRXNQT-10486,ENZRXNQT-10485,ENZRXNQT-10484,ENZRXNQT-10483,ENZRXNQT-10482","AT1G08250,AT3G44720,AT2G27820,AT3G07630,AT1G11790,AT5G22630","ADT6,ADT4,ADT3,PD1,ADT2,ADT1,ADT5",CPD_659_p + PROTON_p --> CARBON_DIOXIDE_p + PHE_p + WATER_p,PWY-3462,,4.2.1.91,"IPR018083,IPR011989,IPR002110,IPR001171,IPR001461,IPR003165,IPR021832,IPR015424,IPR045344,IPR001086,IPR004361,IPR036397,IPR029068,IPR027266,IPR043502,IPR001806,IPR007849,IPR015421,IPR004241,IPR013057,IPR032799,IPR012337,IPR041373,IPR032861,IPR033121,IPR027417,IPR016024,IPR002156,IPR000192,IPR036770,IPR000477,IPR003758,IPR006222,IPR026960,IPR002912,IPR034161,IPR045865,IPR029946,IPR004360,IPR029071,IPR008242,IPR006553,IPR018146,IPR044730,IPR037523,IPR006043,IPR018528,IPR032675,IPR021109"," GO:0009507, GO:0009094, GO:0005737,GO:0004664, GO:0009570",
9,hexadecenoate_biosynthesis_p,RXN-9550,"ENZRXN-16673,ENZRXNQT-14093,ENZRXNQT-4804,ENZRXNQT-4501,ENZRXNQT-3898,ENZRXNQT-32930,ENZRXNQT-32929,ENZRXNQT-32927","AT1G08510,MONOMERQT-9367,AT1G68260,AT1G68280,AT1G35290,AT1G68280,AT1G68260,AT1G35290","At1g08510,FATB,FatB",Palmitoleoyl_ACP_p + WATER_p --> ACP_p + CPD_9245_p + PROTON_p,"PWY-5366,PWY-6282",,3.1.2.14,"IPR006683,IPR029069",,
