Reaction ID,Transcript abundance,Subsystem,Stoichiometry,Lower bound,Upper bound,RegrEx (no hexose uptake),FVA_min (no hexose uptake),FVA_max (no hexose uptake),Parsimonious (no hexose uptake),RegrEx (hexose uptake),Parsimonious (hexose uptake)
Photon_tx_l,,, <=> Photon_e_l,-1000,1000,65.75738613,65.75738614,65.75738612,65.68177922,65.76919355,65.69581985
Photon_ep_MC_l,,,Photon_e_l --> Photon_p_MC_l,0,200,63.75738613,63.75738614,63.7573861,63.68177922,63.76919355,63.69581985
RXN_15479_p_MC_l,0.373725306,photosynthesislightreactions,Oxidized_ferredoxins_p_MC_l + Photon_p_MC_l + Plastocyanin_Reduced_p_MC_l --> Oxidized_Plastocyanins_p_MC_l + Reduced_ferredoxins_p_MC_l,0,1000,31.87869307,31.87869307,31.87869306,31.84088961,31.88459678,31.84790993
PLASTOQUINOL_PLASTOCYANIN_REDUCTASE_RXN_p_MC_l,,NA,2.0 Oxidized_Plastocyanins_p_MC_l + PLASTOQUINOL_1_p_MC_l + 2.0 PROTON_p_MC_l --> PLASTOQUINONE_p_MC_l + 4.0 PROTON_l_MC_l + 2.0 Plastocyanin_Reduced_p_MC_l,0,1000,15.93934653,15.93934654,15.93934652,15.92044481,15.94229839,15.92395496
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_MC_l,0.670052455,photosynthesislightreactions,NADP_p_MC_l + PROTON_p_MC_l + 2.0 Reduced_ferredoxins_p_MC_l <=> NADPH_p_MC_l + 2.0 Oxidized_ferredoxins_p_MC_l,-1000,1000,14.26662931,14.26662931,14.2666293,14.65154092,14.26902668,14.66898256
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_MC_l,0.373725306,Calvin-Benson-Basshamcycle,DPG_p_MC_l + NADPH_p_MC_l + PROTON_p_MC_l --> GAP_p_MC_l + NADP_p_MC_l + Pi_p_MC_l,0,1000,11.71113874,11.56368096,11.79948464,12.01957889,11.71126109,12.01377517
PHOSGLYPHOS_RXN_p_MC_l,0.794707349,"glycolysisI, gluconeogenesis, glycolysisIV(plantcytosol), formaldehydeassimilationIII(dihydroxyacetonecycle), Calvin-Benson-Basshamcycle",0.9 ATP_p_MC_l + G3P_p_MC_l + 0.1 PROTON_p_MC_l + 0.1 aATP_p_MC_l <=> 0.8 ADP_p_MC_l + DPG_p_MC_l + 0.2 aADP_p_MC_l,-1000,1000,11.67686071,11.52940293,11.76520653,12.01957889,11.67749803,12.01377517
PSII_RXN_p_MC_l,0.373725306,photosynthesislightreactions,2.0 PLASTOQUINONE_p_MC_l + 4.0 PROTON_p_MC_l + 4.0 Photon_p_MC_l + 2.0 WATER_p_MC_l --> OXYGEN_MOLECULE_p_MC_l + 2.0 PLASTOQUINOL_1_p_MC_l + 4.0 PROTON_l_MC_l,0,1000,7.969673266,7.969673267,7.969673264,7.960222403,7.971149194,7.961977481
H2O_mc_MC_l,,,WATER_m_MC_l <=> WATER_c_MC_l,-1000,1000,7.483606799,7.188087508,8.47408803,7.120590005,7.537089778,6.918420255
H2O_mc_MC_d,,,WATER_m_MC_d <=> WATER_c_MC_d,-1000,1000,6.887050304,-1000,1000,7.158455658,6.801718213,7.084823292
Plastidial_ATP_Synthase_p_MC_l,1,,2.4 ADP_p_MC_l + 14.0 PROTON_l_MC_l + 3.0 Pi_p_MC_l + 0.6 aADP_p_MC_l --> 2.7 ATP_p_MC_l + 11.3 PROTON_p_MC_l + 3.0 WATER_p_MC_l + 0.3 aATP_p_MC_l,0,1000,6.831148514,6.831148515,6.831148511,6.823047774,6.832413595,6.824552127
PHOSPHORIBULOKINASE_RXN_p_MC_l,0.373725306,"Rubiscoshunt, Calvin-Benson-Basshamcycle",0.9 ATP_p_MC_l + RIBULOSE_5P_p_MC_l + 0.1 aATP_p_MC_l --> 0.8 ADP_p_MC_l + D_RIBULOSE_15_P2_p_MC_l + 0.9 PROTON_p_MC_l + 0.2 aADP_p_MC_l,0,1000,5.992629918,5.992629918,5.992629918,5.992629918,5.992629918,5.992629918
O2_pc_MC_l,,,OXYGEN_MOLECULE_p_MC_l <=> OXYGEN_MOLECULE_c_MC_l,-1000,1000,5.835760121,5.835760122,5.83576014,6.252892701,5.837300305,6.254647779
TRIOSEPISOMERIZATION_RXN_p_MC_l,0.373725306,"glycolysisI, glycolysisIV(plantcytosol), formaldehydeassimilationIII(dihydroxyacetonecycle), Calvin-Benson-Basshamcycle",GAP_p_MC_l <=> DIHYDROXY_ACETONE_PHOSPHATE_p_MC_l,-1000,1000,4.552378382,1.46E-11,4.552378382,4.592673346,4.553016349,4.337412334
MAX_CARBON_UPTAKE_RATIO,,,CARBON_MC <=> ,-1000,1000,4.494472439,4.494472439,4.494472439,4.494472439,4.494472439,4.494472439
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_MC_l,0.468008727,"Rubiscoshunt, Calvin-Benson-Basshamcycle",CARBON_DIOXIDE_p_MC_l + D_RIBULOSE_15_P2_p_MC_l + WATER_p_MC_l + rubisco_bal_p_MC_l --> CARBON_MC + 2.0 G3P_p_MC_l + 2.0 PROTON_p_MC_l,4.494472439,4.494472439,4.494472439,4.494472439,4.494472439,4.494472439,4.494472439,4.494472439
ATP_ADP_mc_MC_l,,,0.5 ADP_c_MC_l + 0.9 ATP_m_MC_l + 0.1 PROTON_m_MC_l + 0.5 aADP_c_MC_l + 0.1 aATP_m_MC_l <=> 0.8 ADP_m_MC_l + 0.65 ATP_c_MC_l + 0.15 PROTON_c_MC_l + 0.2 aADP_m_MC_l + 0.35 aATP_c_MC_l,-1000,1000,4.243894393,4.165430274,6.241509523,4.331931748,4.222178027,4.310041794
SEDOBISALDOL_RXN_p_MC_l,,Calvin-Benson-Basshamcycle,DIHYDROXY_ACETONE_PHOSPHATE_p_MC_l + ERYTHROSE_4P_p_MC_l --> D_SEDOHEPTULOSE_1_7_P2_p_MC_l,0,1000,3.995125588,3.995125588,3.995125587,1.997543306,3.995763555,1.997543306
SEDOHEPTULOSE_BISPHOSPHATASE_RXN_p_MC_l,0.373725306,Calvin-Benson-Basshamcycle,D_SEDOHEPTULOSE_1_7_P2_p_MC_l + WATER_p_MC_l --> D_SEDOHEPTULOSE_7_P_p_MC_l + Pi_p_MC_l,0,1000,3.995125588,3.995125589,3.995125588,1.997543306,3.995763555,1.997543306
ATPase_tx_MC_d,,,0.65 ATP_c_MC_d + Light_dark_maintainence_constraint_c_MC_l + WATER_c_MC_d + 0.35 aATP_c_MC_d --> 0.5 ADP_c_MC_d + ATPase_NADPHoxidase_constraint_c_MC_d + 0.55 PROTON_c_MC_d + 0.7 Pi_c_MC_d + 0.5 aADP_c_MC_d + 0.3 aPi_c_MC_d,0,1000,3.7651,3.7651,3.7651,3.7651,3.7651,3.7651
ATPase_tx_MC_l,,,0.65 ATP_c_MC_l + WATER_c_MC_l + 0.35 aATP_c_MC_l --> 0.5 ADP_c_MC_l + ATPase_NADPHoxidase_constraint_c_MC_l + Light_dark_maintainence_constraint_c_MC_l + 0.55 PROTON_c_MC_l + 0.7 Pi_c_MC_l + 0.5 aADP_c_MC_l + 0.3 aPi_c_MC_l,3.7651,7.6361,3.7651,3.7651,3.7651,3.7651,3.7651,3.7651
ATP_ADP_mc_MC_d,,,0.5 ADP_c_MC_d + 0.9 ATP_m_MC_d + 0.1 PROTON_m_MC_d + 0.5 aADP_c_MC_d + 0.1 aATP_m_MC_d <=> 0.8 ADP_m_MC_d + 0.65 ATP_c_MC_d + 0.15 PROTON_c_MC_d + 0.2 aADP_m_MC_d + 0.35 aATP_c_MC_d,-1000,1000,3.648431573,-1000,1000,3.626579544,3.574788555,3.552553038
CO2_ec_MC_l,,,CARBON_DIOXIDE_e_l <=> CARBON_DIOXIDE_c_MC_l,-41.4,41.4,3.550241112,3.550241113,3.550241112,3.797763699,3.555591781,3.803562799
H2O_ec_MC_l,,,WATER_e_l <=> WATER_c_MC_l,-41.4,41.4,3.245720225,3.245720226,3.245720224,3.765886623,3.270241709,3.739678328
CO2_tx_l,,, <=> CARBON_DIOXIDE_e_l,-1000,1000,2.981832954,2.981832954,2.981832948,3.296104267,2.983973866,3.314865785
H2O_tx_l,,, <=> WATER_e_l,-1000,1000,2.824612099,2.8246121,2.824612097,3.320713463,2.822018055,3.326854005
O2_tx_d,,, <=> OXYGEN_MOLECULE_e_d,-1000,1000,2.378141769,2.378141769,2.378141769,2.372756768,2.374954035,2.373616199
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_MC_l,0.373725306,aerobicrespiration--electrondonorII,2.0 Cytochromes_C_Oxidized_mi_MC_l + 2.0 PROTON_m_MC_l + UBIQUINOL_mi_MC_l --> 2.0 Cytochromes_C_Reduced_mi_MC_l + 4.0 PROTON_i_MC_l + UBIQUINONE_mi_MC_l,0,1000,2.090406566,2.090406566,2.090406558,2.424489851,2.082898714,2.411201617
Mitochondrial_ATP_Synthase_m_MC_l,1,,2.4 ADP_m_MC_l + 10.0 PROTON_i_MC_l + 3.0 Pi_m_MC_l + 0.6 aADP_m_MC_l --> 2.7 ATP_m_MC_l + 7.3 PROTON_m_MC_l + 3.0 WATER_m_MC_l + 0.3 aATP_m_MC_l,0,1000,2.030985888,2.030985888,2.030985888,2.153616569,2.024835395,2.152200922
Photon_ep_CC_l,,,Photon_e_l --> Photon_p_CC_l,0,2,2,2,2,2,2,2
TRANSALDOL_RXN_p_MC_l,0.373725306,"pentosephosphatepathway(non-oxidativebranch), Rubiscoshunt, formaldehydeassimilationIII(dihydroxyacetonecycle)",D_SEDOHEPTULOSE_7_P_p_MC_l + GAP_p_MC_l <=> ERYTHROSE_4P_p_MC_l + FRUCTOSE_6P_p_MC_l,-1000,1000,1.997686673,1.997686674,1.997686674,0,1.998325164,0
1TRANSKETO_RXN_p_MC_l,0.373725306,"pentosephosphatepathway(non-oxidativebranch), Rubiscoshunt, pentosephosphatepathway(partial), formaldehydeassimilationIII(dihydroxyacetonecycle), Calvin-Benson-Basshamcycle",D_SEDOHEPTULOSE_7_P_p_MC_l + GAP_p_MC_l <=> RIBOSE_5P_p_MC_l + XYLULOSE_5_PHOSPHATE_p_MC_l,-1000,1000,1.997438915,1.997438915,1.997438915,1.997543306,1.997438391,1.997543306
RIB5PISOM_RXN_p_MC_l,0.373725306,"pentosephosphatepathway(non-oxidativebranch), Rubiscoshunt, formaldehydeassimilationIII(dihydroxyacetonecycle), Calvin-Benson-Basshamcycle",RIBOSE_5P_p_MC_l <=> RIBULOSE_5P_p_MC_l,-1000,1000,1.997438915,1.997438915,1.997438915,1.997543306,1.997438391,1.997543306
NADH_DEHYDROG_A_RXN_mi_MC_l,0.787211127,"aerobicrespiration--electrondonorIII, aerobicrespiration--electrondonorII, NADHtocytochromeless_thanigreater_thanboless_than/igreater_thanoxidaseelectrontransfer, NADHtocytochromeless_thanigreater_thanbdless_than/igreater_thanoxidaseelectrontransfer, NAD/NADHphosphorylationanddephosphorylation",NADH_m_MC_l + 5.0 PROTON_m_MC_l + UBIQUINONE_mi_MC_l --> NAD_m_MC_l + 4.0 PROTON_i_MC_l + UBIQUINOL_mi_MC_l,0,1000,1.941854871,1.941854871,1.941854871,1.747306646,1.937740417,1.763699878
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_MC_d,,aerobicrespiration--electrondonorII,2.0 Cytochromes_C_Oxidized_mi_MC_d + 2.0 PROTON_m_MC_d + UBIQUINOL_mi_MC_d --> 2.0 Cytochromes_C_Reduced_mi_MC_d + 4.0 PROTON_i_MC_d + UBIQUINONE_mi_MC_d,0,1000,1.901149128,1.901149129,1.901149125,1.88135056,1.876394195,1.862328296
Mitochondrial_ATP_Synthase_m_MC_d,,,2.4 ADP_m_MC_d + 10.0 PROTON_i_MC_d + 3.0 Pi_m_MC_d + 0.6 aADP_m_MC_d --> 2.7 ATP_m_MC_d + 7.3 PROTON_m_MC_d + 3.0 WATER_m_MC_d + 0.3 aATP_m_MC_d,0,1000,1.781378894,1.781378895,1.781378893,1.869238075,1.757929039,1.847552775
