,0
0,BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p
1,BRANCHED_CHAINAMINOTRANSFERILEU_RXN_m
2,INORGPYROPHOSPHAT_RXN_x
3,INORGPYROPHOSPHAT_RXN_c
4,INORGPYROPHOSPHAT_RXN_m
5,INORGPYROPHOSPHAT_RXN_p
6,DAHPSYN_RXN_p
7,2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p
8,BRANCHED_CHAINAMINOTRANSFERLEU_RXN_m
9,BRANCHED_CHAINAMINOTRANSFERLEU_RXN_p
10,ISOCITDEH_RXN_m
11,ISOCITDEH_RXN_x
12,ISOCITDEH_RXN_c
13,F16ALDOLASE_RXN_p
14,F16ALDOLASE_RXN_c
15,3_ISOPROPYLMALDEHYDROG_RXN_p
16,HYDROXYMETHYLGLUTARYL_COA_LYASE_RXN_m
17,CHORISMATEMUT_RXN_p
18,BRANCHED_CHAINAMINOTRANSFERVAL_RXN_m
19,BRANCHED_CHAINAMINOTRANSFERVAL_RXN_p
20,PEPDEPHOS_RXN_c
21,PEPDEPHOS_RXN_p
22,HOMOSERKIN_RXN_p
23,SUCCCOASYN_RXN_m
24,RXN_1224_p
25,2_ISOPROPYLMALATESYN_RXN_p
26,RXN_1827_p
27,DIACYLGLYCEROL_O_ACYLTRANSFERASE_RXN_p
28,PEPCARBOX_RXN_c
29,GLUTATHIONE_REDUCT_NADPH_RXN_m
30,GLUTATHIONE_REDUCT_NADPH_RXN_p
31,GLYCINE_TRNA_LIGASE_RXN_c
32,THIOREDOXIN_REDUCT_NADPH_RXN_p
33,RXN_969_x
34,ATP_CITRATE_PRO_S_LYASE_RXN_c
35,RXN_8873_c
36,ACETOSYRINGONE_BIOSYNTHESIS_c
