,Gene ID,Gene name,Counts NP1,FPKM NP1,Counts NP2,FPKM NP2,Counts P1,FPKM P1,Counts P2,FPKM P2,Log2 FC,pvalue,padj,FPKM P1 CC,FPKM P2 CC,FPKM P1 GC,FPKM P2 GC
1499,AT1G79360,Oct-02,1,0.01,7,0.06,120,1.7,89,1.56,5.49,2.93E-18,1.58E-17,1.7,1.56,1.7,1.56
3916,AT4G21990,Apr-03,9338,90.67,9441,88.73,20155,299.74,17245,316.34,1.78,3.68E-199,1.10E-197,299.74,316.34,299.74,316.34
8282,AT1G16390,Oct-03,86,0.77,69,0.6,2,0.03,0,0,-5.51,1.91E-06,5.48E-06,0.03,0,0.03,0
2813,AT3G20660,Oct-04,127,1.07,130,1.06,670,8.66,584,9.31,3.07,1.32E-72,1.86E-71,8.66,9.31,8.66,9.31
2913,AT1G79410,Oct-05,758,6.96,790,7.02,4011,56.44,2937,50.97,2.94,6.14E-234,2.08E-232,56.44,50.97,56.44,50.97
523,AT1G16370,Oct-06,6,0.06,8,0.08,834,12.48,553,10.21,7.4,2.69E-70,3.70E-69,12.48,10.21,12.48,10.21
3359,AT3G13050,Oct-07,561,4.56,639,5.03,1995,24.83,1596,24.5,2.36,2.94E-115,5.85E-114,24.83,24.5,24.83,24.5
6104,AT4G30710,Aug-08,461,2.36,627,3.1,133,1.04,95,0.92,-1.48,1.37E-11,5.55E-11,1.04,0.92,1.04,0.92
7861,AT4G16640,1MMP,12,0.12,22,0.22,1,0.02,0,0,-4.31,0.016555568,0.02825504,0.02,0,0.02,0
840,AT1G70170,2MMP,14,0.17,9,0.1,720,13.19,629,14.21,6.66,3.18E-87,5.12E-86,13.19,14.21,13.19,14.21
2469,AT1G03940,3AT1,2,0.02,2,0.02,18,0.25,12,0.21,3.68,0.001291817,0.002660414,0.25,0.21,0.25,0.21
5690,AT2G43420,3BETAHSD/D3,432,3.55,435,3.46,130,1.64,89,1.38,-1.21,2.51E-08,8.38E-08,1.64,1.38,1.64,1.38
2720,AT1G24140,3MMP,737,7.34,692,6.67,4302,65.59,3530,66.39,3.24,0,0,65.59,66.39,65.59,66.39
5761,AT3G21240,4CL2,433,3.66,471,3.86,128,1.66,93,1.49,-1.25,3.89E-09,1.38E-08,1.66,1.49,1.66,1.49
3501,AT3G21230,4CL4,535,4.08,557,4.11,1655,19.33,1232,17.75,2.18,3.63E-86,5.81E-85,28.00957039,25.72011766,19.33,17.75
1518,AT1G20480,4CLL2,8,0.07,16,0.14,348,4.93,265,4.63,5.45,1.99E-50,2.14E-49,4.93,4.63,4.93,4.63
23,AT1G20500,4CLL4,0,0,0,0,461,7.28,381,7.42,11.94,2.19E-16,1.10E-15,7.28,7.42,7.28,7.42
2091,AT1G20510,4CLL5,1399,9.29,1476,9.48,19279,196.04,15580,195.42,4.38,0,0,196.04,195.42,196.04,195.42
2239,AT5G56980,A70,2008,21.42,2134,22.03,23229,379.52,17574,354.17,4.08,0,0,379.52,354.17,379.52,354.17
1869,AT5G13490,AAC2,127,1.19,159,1.44,2660,38.16,2285,40.43,4.9,0,0,38.16,40.43,38.16,40.43
2823,AT1G65890,AAE12,17,0.16,18,0.16,106,1.48,66,1.14,3.06,8.05E-12,3.32E-11,1.48,1.14,1.48,1.14
4869,AT1G30520,AAE14,463,3.12,470,3.06,661,6.82,525,6.68,1.13,7.29E-16,3.61E-15,6.82,6.68,6.82,6.68
